,cartera_contactada,bajas_capturadas
233,0.1155,0.70769
234,0.11599,0.71077
235,0.11649,0.71385
236,0.11698,0.71692
237,0.11747,0.72
238,0.11797,0.72308
239,0.11846,0.72615
240,0.11895,0.72923
241,0.11945,0.73231
242,0.11994,0.73538
243,0.12043,0.73846
244,0.12093,0.74154
245,0.12142,0.74462
246,0.12192,0.74769
247,0.12241,0.75077
248,0.1229,0.75385
249,0.1234,0.75692
250,0.12389,0.76
251,0.12438,0.76308
252,0.12488,0.76308
253,0.12537,0.76615
254,0.12586,0.76923
255,0.12636,0.77231
256,0.12685,0.77538
257,0.12734,0.77846
258,0.12784,0.78154
259,0.12833,0.78462
260,0.12883,0.78769
261,0.12932,0.79077
262,0.12981,0.79385
263,0.13031,0.79692
264,0.1308,0.8
265,0.13129,0.8
266,0.13179,0.8
267,0.13228,0.80308
268,0.13277,0.80615
269,0.13327,0.80923
270,0.13376,0.81231
271,0.13425,0.81538
272,0.13475,0.81846
273,0.13524,0.82154
274,0.13574,0.82462
275,0.13623,0.82769
276,0.13672,0.83077
277,0.13722,0.83385
278,0.13771,0.83692
279,0.1382,0.83692
280,0.1387,0.84
281,0.13919,0.84
282,0.13968,0.84308
283,0.14018,0.84308
284,0.14067,0.84615
285,0.14116,0.84923
286,0.14166,0.85231
287,0.14215,0.85538
288,0.14265,0.85538
289,0.14314,0.85846
290,0.14363,0.86154
291,0.14413,0.86154
292,0.14462,0.86154
293,0.14511,0.86462
294,0.14561,0.86462
295,0.1461,0.86462
296,0.14659,0.86462
297,0.14709,0.86462
298,0.14758,0.86769
299,0.14808,0.87077
300,0.14857,0.87385
301,0.14906,0.87692
302,0.14956,0.88
303,0.15005,0.88
304,0.15054,0.88
305,0.15104,0.88308
306,0.15153,0.88308
307,0.15202,0.88308
308,0.15252,0.88308
309,0.15301,0.88615
310,0.1535,0.88615
311,0.154,0.88615
312,0.15449,0.88615
313,0.15499,0.88615
314,0.15548,0.88923
315,0.15597,0.89231
316,0.15647,0.89538
317,0.15696,0.89538
318,0.15745,0.89538
319,0.15795,0.89846
320,0.15844,0.90154
321,0.15893,0.90462
322,0.15943,0.90462
323,0.15992,0.90462
324,0.16041,0.90462
325,0.16091,0.90462
326,0.1614,0.90462
327,0.1619,0.90462
328,0.16239,0.90462
329,0.16288,0.90462
330,0.16338,0.90462
331,0.16387,0.90769
332,0.16436,0.91077
333,0.16486,0.91077
334,0.16535,0.91077
335,0.16584,0.91385
336,0.16634,0.91385
337,0.16683,0.91385
338,0.16732,0.91385
339,0.16782,0.91385
340,0.16831,0.91385
341,0.16881,0.91385
342,0.1693,0.91385
343,0.16979,0.91385
344,0.17029,0.91385
345,0.17078,0.91385
346,0.17127,0.91385
347,0.17177,0.91385
348,0.17226,0.91692
349,0.17275,0.92
350,0.17325,0.92
351,0.17374,0.92
352,0.17423,0.92
353,0.17473,0.92
354,0.17522,0.92308
355,0.17572,0.92308
356,0.17621,0.92615
357,0.1767,0.92615
358,0.1772,0.92615
359,0.17769,0.92615
360,0.17818,0.92615
361,0.17868,0.92615
362,0.17917,0.92923
363,0.17966,0.92923
364,0.18016,0.92923
365,0.18065,0.93231
366,0.18115,0.93231
367,0.18164,0.93231
368,0.18213,0.93231
369,0.18263,0.93231
370,0.18312,0.93538
371,0.18361,0.93538
372,0.18411,0.93538
373,0.1846,0.93538
374,0.18509,0.93538
375,0.18559,0.93538
376,0.18608,0.93538
377,0.18657,0.93538
378,0.18707,0.93538
379,0.18756,0.93538
380,0.18806,0.93538
381,0.18855,0.93538
382,0.18904,0.93538
383,0.18954,0.93538
384,0.19003,0.93538
385,0.19052,0.93846
386,0.19102,0.93846
387,0.19151,0.94154
388,0.192,0.94154
389,0.1925,0.94154
390,0.19299,0.94154
391,0.19348,0.94462
392,0.19398,0.94462
393,0.19447,0.94462
394,0.19497,0.94462
395,0.19546,0.94769
396,0.19595,0.94769
397,0.19645,0.94769
398,0.19694,0.94769
399,0.19743,0.94769
400,0.19793,0.94769
401,0.19842,0.94769
402,0.19891,0.95077
403,0.19941,0.95385
404,0.1999,0.95385
405,0.20039,0.95385
406,0.20089,0.95385
407,0.20138,0.95385
408,0.20188,0.95385
409,0.20237,0.95385
410,0.20286,0.95385
411,0.20336,0.95385
412,0.20385,0.95385
413,0.20434,0.95385
414,0.20484,0.95385
415,0.20533,0.95385
416,0.20582,0.95385
417,0.20632,0.95385
418,0.20681,0.95692
419,0.20731,0.95692
420,0.2078,0.95692
421,0.20829,0.95692
422,0.20879,0.95692
423,0.20928,0.95692
424,0.20977,0.95692
425,0.21027,0.95692
426,0.21076,0.96
427,0.21125,0.96
428,0.21175,0.96
429,0.21224,0.96
430,0.21273,0.96
431,0.21323,0.96
432,0.21372,0.96
433,0.21422,0.96
434,0.21471,0.96
435,0.2152,0.96
436,0.2157,0.96308
437,0.21619,0.96308
438,0.21668,0.96308
439,0.21718,0.96308
440,0.21767,0.96308
441,0.21816,0.96615
442,0.21866,0.96615
443,0.21915,0.96615
444,0.21964,0.96615
445,0.22014,0.96615
446,0.22063,0.96615
447,0.22113,0.96615
448,0.22162,0.96615
