cluster,clientes,share,tasa_abandono,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,ticket_promedio,trans_por_mes,contactos_por_producto,ratio_inactividad,caida_actividad,saldo_rotativo_cero
0,79,0.2,0.8,44.33,2.18,34.35,3.09,2.51,2.62,14517.74,694.61,0.88,7502.37,68.75,0.8,0.07,108.78,2.15,1.11,0.07,0.2,0.57
1,317,0.8,0.77,46.87,2.29,36.51,3.54,2.59,2.94,6878.84,686.96,0.65,2177.65,41.13,0.51,0.2,52.85,1.19,1.05,0.07,0.49,0.53
